SNR;RAJ2000;DEJ2000;MajDiam;MinDiam;u_MinDiam;type;l_S(1GHz);S(1GHz);u_S(1GHz);Sp-Index;u_Sp-Index;Names;Simbad;recno
G107.0+09.0;22 01 00;+66 30;180.0;     ;?;? ; ;  11.0;?; 0.90;? ;                          ;Simbad;     148
G108.2-00.6;22 53 40;+58 50; 70.0; 54.0; ;S ; ;   8.0; ; 0.50;  ;                          ;Simbad;     149
G109.1-01.0;23 01 35;+58 53; 28.0;     ; ;S ; ;  20.0; ; 0.45;  ;CTB 109                   ;Simbad;     150
G111.7-02.1;23 23 26;+58 48;  5.0;     ; ;S ; ;2300.0; ; 0.77;  ;Cassiopeia A, 3C461       ;Simbad;     151
G113.0+00.2;23 26 50;+61 26; 40.0; 17.0;?;? ; ;   4.0; ; 0.50;? ;                          ;Simbad;     152
G114.3+00.3;23 37 00;+61 55; 90.0; 55.0; ;S ; ;   5.5; ; 0.50;  ;                          ;Simbad;     153
G116.5+01.1;23 53 40;+63 15; 80.0; 60.0; ;S ; ;  10.0; ; 0.50;  ;                          ;Simbad;     154
G116.6-26.1;00 23 00;+36 30;235.0;     ; ;S ; ;      ;?;     ;? ;                          ;Simbad;     155
G116.9+00.2;23 59 10;+62 26; 34.0;     ; ;S ; ;   8.0; ; 0.57;  ;CTB 1                     ;Simbad;     156
G119.5+10.2;00 06 40;+72 45; 90.0;     ;?;S ; ;  36.0; ; 0.60;  ;CTA 1                     ;Simbad;     157
G120.1+01.4;00 25 18;+64 09;  8.0;     ; ;S ; ;  50.0; ; 0.58;  ;Tycho, 3C10, SN1572       ;Simbad;     158
G126.2+01.6;01 22 00;+64 15; 70.0;     ; ;S?; ;   6.0; ; 0.50;  ;                          ;Simbad;     159
G127.1+00.5;01 28 20;+63 10; 45.0;     ; ;S ; ;  12.0; ; 0.45;  ;R5                        ;Simbad;     160
G130.7+03.1;02 05 41;+64 49;  9.0;  5.0; ;F ; ;  33.0; ; 0.07;  ;3C58, SN1181              ;Simbad;     161
G132.7+01.3;02 17 40;+62 45; 80.0;     ; ;S ; ;  45.0; ; 0.60;  ;HB3                       ;Simbad;     162
G150.3+04.5;04 27 00;+55 28;180.0;150.0; ;S ; ;      ;?;     ;? ;                          ;Simbad;     163
G152.4-02.1;04 07 50;+49 11;100.0; 95.0; ;S ; ;   3.5;?; 0.70;? ;                          ;Simbad;     164
G156.2+05.7;04 58 40;+51 50;110.0;     ; ;S ; ;   5.0; ; 0.50;  ;                          ;Simbad;     165
G159.6+07.3;05 20 00;+50 00;240.0;180.0;?;S ; ;      ;?;     ;? ;                          ;Simbad;     166
G160.9+02.6;05 01 00;+46 40;140.0;120.0; ;S ; ; 110.0; ; 0.64;  ;HB9                       ;Simbad;     167
G166.0+04.3;05 26 30;+42 56; 55.0; 35.0; ;S ; ;   7.0; ; 0.37;  ;VRO 42.05.01              ;Simbad;     168
G178.2-04.2;05 25 05;+28 11; 72.0; 62.0; ;S ; ;   2.0; ; 0.50;  ;                          ;Simbad;     169
G179.0+02.6;05 53 40;+31 05; 70.0;     ; ;S?; ;   7.0; ; 0.40;  ;                          ;Simbad;     170
G180.0-01.7;05 39 00;+27 50;180.0;     ; ;S ; ;  65.0; ;     ;v ;S147                      ;Simbad;     171
G181.1+09.5;06 26 40;+32 30; 74.0;     ; ;S ; ;   0.4;?; 0.40;? ;                          ;Simbad;     172
G182.4+04.3;06 08 10;+29 00; 50.0;     ; ;S ; ;   0.5; ; 0.40;  ;                          ;Simbad;     173
G184.6-05.8;05 34 31;+22 01;  7.0;  5.0; ;F ; ; 900.0; ; 0.30;  ;Crab Nebula, 3C144, SN1054;Simbad;     174
G189.1+03.0;06 17 00;+22 34; 45.0;     ; ;C ; ; 165.0; ; 0.36;  ;IC443, 3C157              ;Simbad;     175
G189.6+03.3;06 19 40;+22 00; 90.0;     ;?;S ; ;      ;?;     ;? ;                          ;Simbad;     176
G190.9-02.2;06 01 55;+18 24; 70.0; 60.0; ;S ; ;   1.3;?; 0.70;? ;                          ;Simbad;     177
G203.1+06.6;06 57 00;+11 40;150.0;     ; ;S ; ;      ;?;     ;? ;                          ;Simbad;     178
